img_name,Caption,ANP,Emotion_Categorical,Valence,Arousal,Dominance,Style,Scene_Type,Object_Types,Facial_Expression,Human_Action,Reason_for_Emotion,Average_Color,Primary_Color,Secondary_Color,Brightness,Contrast,image_path
10f9ef5c-d8c2-456c-bbd6-d6c5b0c6ef1f,"A stunning portrait of a female figure riding a mechanical white saber-tooth tiger atop a cliff, gazing over an epic frozen moon with icicles hanging above the clouds, set in a vibrant depiction of the planet Arrakis, inspired by Dune, featuring an ultra-realistic face.","vibrant landscape, mechanical tiger, frozen moon, icy cliffs",Awe,3,4,2,"realistic, fantasy",outdoor,"mechanical creatures, natural landscapes",,,The juxtaposition of the majestic mechanical creature and the breathtaking landscape evokes a sense of awe and wonder at the beauty and imagination of the scene.,79:88:102,79:97:124,12:29:40,87.59,55.64,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/10f9ef5c-d8c2-456c-bbd6-d6c5b0c6ef1f.jpg
05542ec4-2388-461e-b529-13842651c6d8,"Mickey Mouse is sitting on a toilet with a distressed expression, implying he is having a tough time in the bathroom.","distressed Mickey, humorous situation, cluttered bathroom",Disgust,-2,2,-1,cartoonish,indoor,"toilet, bathroom decor",distressed,sitting,"The image depicts a humorous yet uncomfortable scenario, evoking feelings of disgust due to the context of using a toilet.",75:65:53,31:24:18,99:85:68,67.3,56.81,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/05542ec4-2388-461e-b529-13842651c6d8.jpg
c3687d67-1576-411d-af02-97cebdfad223,"A woman with some skin imperfections visible on her face, framed in a simple setting.","simple setting, skin imperfections",Disgust,-2,1,0,realistic,indoor,human figure,,,The presence of skin imperfections may evoke feelings of discomfort or disgust.,58:46:36,23:20:15,93:68:55,48.71,47.55,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/c3687d67-1576-411d-af02-97cebdfad223.jpg
2f65ce1f-00e1-45ae-aa0e-20f6a80966f1,"An angry Santa Claus stands on a park bench, shouting at ducks flying around him in a pond.","filthy Santa, angry demeanor, park bench, quacking ducks",Anger,-2,3,2,"surreal, fantastical",outdoor,"people, animals, natural elements",angry,screaming,"The contrasting image of a traditionally jolly character like Santa Claus exhibiting anger creates a humorous yet absurd scenario, evoking feelings of surprise and amusement alongside the primary emotion of anger.",84:91:83,28:40:39,105:102:91,88.5,65.42,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/2f65ce1f-00e1-45ae-aa0e-20f6a80966f1.jpg
8b4be343-4963-4caa-abe6-ea925ad0788f,"A person with wild hair is engulfed in flames, expressing intense emotion on a street in an urban setting.","wild hair, intense emotion, urban street",Anger,-2,4,1,dramatic,outdoor,buildings,,,The fiery imagery and visceral presentation suggest a state of extreme anger or rage.,107:85:64,98:89:77,12:27:28,90.07,58.78,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/8b4be343-4963-4caa-abe6-ea925ad0788f.jpg
29f52d35-6ddf-4c2e-9351-0d2f2f1bdb87,"A giant tire designed to resemble a character with a yellow color theme, featuring a cartoonish face peeking through it.","colorful tire, cartoon face, 3-D rendering",Amusement,3,2,1,"cartoonish, 3-D",indoor,"tire, character",,,The whimsical design of the giant tire and character face evokes a sense of playfulness and humor.,105:115:90,33:46:37,123:131:92,109.49,62.76,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/29f52d35-6ddf-4c2e-9351-0d2f2f1bdb87.jpg
06164616-9ffb-4cb3-a8f0-5a318183ed46,"A whimsical scene featuring a cherry pie face held by a human body in a vintage bakery setting, illuminated by cinematic lighting.","whimsical bakery, cherry pie face, vintage colors, cinematic lighting",Amusement,3,2,1,"photorealistic, vintage",indoor,"bakery, food",,,The surreal combination of a cherry pie as a face in a cheerful bakery setting evokes humor and delight.,122:105:98,44:37:40,122:97:90,110.02,65.47,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/06164616-9ffb-4cb3-a8f0-5a318183ed46.jpg
31a9ec28-3993-4621-a339-f3551cd683f7,"A close-up photograph of two stylish individuals enjoying a moment while looking at an assortment of delicious buffet food displayed in a glass case, set in a sunny atrium restaurant environment.","happy people, stylish attire, delicious food, sunny environment",Contentment,3,2,2,"fine photography, realistic",indoor,"food display, glass case",happy,looking,The image evokes contentment as the individuals are delighted by the appealing food in a pleasant environment.,86:79:70,33:30:27,115:103:91,80.38,65.81,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/31a9ec28-3993-4621-a339-f3551cd683f7.jpg
04469518-4931-4f43-82b5-73b12c115702,"Two young lawyers are engaged in a conversation, depicted in a flat modern illustration style with a backdrop of abstract technology elements.","young lawyers, modern illustration, abstract technology",Contentment,2,1,1,"flat, modern",indoor,"people, abstract shapes",,,"The image conveys a sense of professionalism and collaboration, which often evokes contentment in a work-related context.",177:152:138,245:234:221,61:54:57,158.13,82.22,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/04469518-4931-4f43-82b5-73b12c115702.jpg
3182a1a9-11e8-4523-baa8-deeb343c5fdb,"A lateral view of a slip-on shoe that features a highly detailed design, showcasing nylon textures, hexagonal cushioning, and a modern aesthetic, possibly slated for a 2028 release, combining elements of comfort and style.","detailed shoe, comfortable design, modern aesthetic",Awe,3,2,1,"realistic, modern",indoor,footwear,,,The intricate details and innovative design evoke a sense of admiration and wonder.,66:64:61,33:32:31,94:91:88,64.66,46.69,/home/pci/dong/emodb/dong/EmoGenDB/sample_images_5k/3182a1a9-11e8-4523-baa8-deeb343c5fdb.jpg
